TICKER,DATE,CLOSE,OPEN,HIGH,LOW,VOLUME
VN30-IDX,20170801,759.84,758.49,759.84,749.47,96626750
VN30-IDX,20170731,759.67,759.73,761.04,756.77,73839836
VN30-IDX,20170730,757.5,754.03,757.5,753.36,71437510
VN30-IDX,20170729,750.07,751.5,751.5,748.08,101900600
VN30-IDX,20170728,746.59,746.87,750.71,744.58,72414940
VN30-IDX,20170727,745.53,744.42,748.04,743.67,81100480
VN30-IDX,20170726,741.39,737.03,741.39,734.53,71036088
VN30-IDX,20170725,736.86,740.65,742,735.26,51307620
VN30-IDX,20170724,740.2,738.47,743.9,738.47,57558985
VN30-IDX,20170723,737.52,737.75,740.25,734.03,76643851
VN30-IDX,20170722,737.18,736.17,739.51,734.95,71098340
VN30-IDX,20170721,732.69,722.59,732.69,722.59,72367040
VN30-IDX,20170720,721.74,719.05,724.35,719.05,100566031
VN30-IDX,20170719,718.33,720.39,720.75,715.7,46609735
VN30-IDX,20170718,719.76,713.63,719.76,713.63,46914190
VN30-IDX,20170717,713.43,712.02,719.32,709.73,74944720
VN30-IDX,20170716,711.48,722.82,723.54,711.48,77080410
VN30-IDX,20170715,722.26,723.27,725.2,721.92,71976210
VN30-IDX,20170714,718.87,716.24,719.36,716.07,54939635
VN30-IDX,20170713,716.4,718.42,722.06,715.78,72834895
VN30-IDX,20170712,718.28,710.81,719.59,710.27,81723210
VN30-IDX,20170711,708.62,711.96,713.7,708.11,65612212
VN30-IDX,20170710,710.86,707.27,715.28,706.84,96339780
VN30-IDX,20170709,702.03,696.66,702.03,695.53,61716370
VN30-IDX,20170708,695.3,693.93,701.28,693.92,65265946
VN30-IDX,20170707,696.37,692.95,697.47,691.06,48557300
VN30-IDX,20170706,692.91,695.86,698.67,692.91,77798890
VN30-IDX,20170705,695.22,691.33,696.86,691.33,61190810
VN30-IDX,20170704,690.84,691.46,693.85,690.29,53644285
VN30-IDX,20170703,691.02,692.13,693.19,689.69,80984890
VN30-IDX,20170702,690.53,689.07,695.66,689.07,64751520
VN30-IDX,20170701,688.08,680.42,688.08,680.34,82028620
VN30-IDX,20170630,681.11,683.15,684.17,681.06,72766965
VN30-IDX,20170629,684.17,684.95,687.41,684.09,57666344
VN30-IDX,20170628,686.29,684.8,688.75,683.44,72084620
VN30-IDX,20170627,684.99,681.7,684.99,680.95,56671814
VN30-IDX,20170626,680.49,678.59,683.14,677.21,67754470
VN30-IDX,20170625,681.36,673.67,682.41,673.67,59560642
VN30-IDX,20170624,673.53,669.12,673.53,667.96,39379740
VN30-IDX,20170623,668.58,667.96,670.32,665.66,34409270
VN30-IDX,20170622,667.08,671.8,673.13,667.08,53386820
VN30-IDX,20170621,672.6,676.35,677.83,671.95,91887296
VN30-IDX,20170620,674.3,679.43,679.7,674.3,37002663
VN30-IDX,20170619,679.69,675.67,679.69,675.12,41674860
VN30-IDX,20170618,675.71,669.67,675.71,665.35,60731951
VN30-IDX,20170617,669.31,680.27,683.48,669.31,52530510
VN30-IDX,20170616,678.45,686.45,686.45,674.94,64822700
VN30-IDX,20170615,687.72,692.5,693.81,687.72,63624097
VN30-IDX,20170614,692.4,697.92,698.87,689.77,84638983
VN30-IDX,20170613,697.93,696.78,699.4,696.71,68893791
VN30-IDX,20170612,696.72,698.49,699.86,696.66,54521740
VN30-IDX,20170611,697.62,687.09,697.62,685.63,113022465
VN30-IDX,20170610,691.07,697.99,698.88,691.07,77492315
VN30-IDX,20170609,699.07,699.35,702.05,698.49,76417240
VN30-IDX,20170608,696.73,693.42,697.32,693.42,72477028
VN30-IDX,20170607,693.22,693.56,696.97,693.01,65381570
VN30-IDX,20170606,692.5,692.11,696.93,692.11,82673630
VN30-IDX,20170605,689.91,688.57,689.91,685.69,74664815
VN30-IDX,20170604,688.31,693.91,695.04,687.41,78941345
VN30-IDX,20170603,693.49,692.82,695.53,691.38,90356160
VN30-IDX,20170602,691.76,692.52,696.22,689.95,102613616
VN30-IDX,20170601,689.32,677.07,689.32,677.07,74215690
VN30-IDX,20170531,677.96,679.78,685.9,677.96,97102459
VN30-IDX,20170530,679.69,677.14,682.28,677.14,83654215
VN30-IDX,20170529,676.02,672.52,678.78,672.52,55113108
VN30-IDX,20170528,668.35,669.4,671.07,668.35,109109950
VN30-IDX,20170527,668.07,663.85,668.07,663.85,59841760
VN30-IDX,20170526,663.57,666.46,667.42,663.54,39031010
