TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
VN-IDX,20171102,842.19,849.53,833.09,833.09,174195640
HNX-IDX,20171102,104.9767,105.4477,103.2303,103.4215,47394156
VN-IDX,20171101,838.75,842.88,837.28,842.71,154761890
HNX-IDX,20171101,105.1583,105.688,104.4735,104.9767,45247592
VN-IDX,20171031,844.27,845.93,837.28,837.28,159707190
HNX-IDX,20171031,105.9769,106.5564,104.8874,105.1583,44106880
VN-IDX,20171030,842.92,849.3,840.37,845.2,161923610
HNX-IDX,20171030,106.4514,107.1598,105.7339,105.9769,41173585
VN-IDX,20171027,829.15,840.37,828.45,840.37,125735360
HNX-IDX,20171027,106.3149,106.4514,105.512,106.4514,37625571
VN-IDX,20171026,829.94,834.67,823.92,830.11,166920850
HNX-IDX,20171026,107.4002,107.5732,105.6723,106.3149,55760710
VN-IDX,20171025,826.08,830.69,822.83,830.69,120236890
HNX-IDX,20171025,106.6867,107.5192,106.6356,107.4002,34654018
VN-IDX,20171024,818.08,825.24,814.92,825.24,139391360
HNX-IDX,20171024,106.2421,106.6867,103.3715,106.6867,39036321
VN-IDX,20171023,826.25,827.24,818.81,820.04,194233280
HNX-IDX,20171023,108.1417,108.2173,106.0532,106.2421,50067448
VN-IDX,20171020,827.93,833.57,826.84,826.84,175389990
HNX-IDX,20171020,109.0846,109.5495,107.9526,108.1417,42354640
VN-IDX,20171019,828.89,831.61,825.5,828.93,143612720
HNX-IDX,20171019,109.429,109.7344,108.7977,109.0846,48384817
VN-IDX,20171018,829.43,831.15,826.72,827.72,181560570
HNX-IDX,20171018,109.8444,110.8908,109.2005,109.429,48432622
VN-IDX,20171017,819.51,828.29,819.43,828.29,162059280
HNX-IDX,20171017,109.3032,109.8502,109.1573,109.8444,50152068
VN-IDX,20171016,821.54,823.85,819.43,819.43,149380810
HNX-IDX,20171016,109.1082,109.6015,108.829,109.3032,44981535
VN-IDX,20171013,814.6,820.95,814.2,820.95,141007860
HNX-IDX,20171013,108.3789,109.1147,108.0963,109.1082,40202640
VN-IDX,20171012,814.43,818.44,813.72,815.87,136657590
HNX-IDX,20171012,108.6504,108.9069,107.9419,108.3789,34356645
VN-IDX,20171011,811.2,815.11,810.65,813.95,162312110
HNX-IDX,20171011,108.5677,108.9763,108.1302,108.6504,46698666
VN-IDX,20171010,808.43,810.65,806.3,810.65,137984210
HNX-IDX,20171010,108.7465,108.9833,107.7532,108.5677,38491804
VN-IDX,20171009,809.61,810.75,806.78,808.96,128984920
HNX-IDX,20171009,107.979,109.1231,107.9669,108.7465,50908842
VN-IDX,20171006,805.7,808.13,803.81,807.8,119817300
HNX-IDX,20171006,106.9608,107.9941,106.964,107.979,48723769
VN-IDX,20171005,806.56,810.54,805.22,805.23,138614890
HNX-IDX,20171005,107.4321,107.8901,106.8745,106.9608,46507470
VN-IDX,20171004,797.39,805.66,797,805.66,109168660
HNX-IDX,20171004,106.532,107.4408,106.3631,107.4321,35291052
VN-IDX,20171003,803.98,804.39,795.05,798,148061070
HNX-IDX,20171003,107.5109,107.6268,105.8746,106.532,51928180
VN-IDX,20171002,805.29,808.09,801.7,802.23,101112650
HNX-IDX,20171002,107.6551,108.1858,107.2317,107.5109,50778829
VN-IDX,20170929,805.07,808.77,804.42,804.42,122619610
HNX-IDX,20170929,107.4265,107.6952,106.2005,107.6551,59382734
