TICKER,Date,Open,High,Low,Close,Volume
KRX-IDX,20160608,2013.72,2027.09,2008.59,2027.08,497934000
KRX-IDX,20160607,1993.08,2011.67,1992.77,2011.63,481348000
KRX-IDX,20160603,1991.58,1991.58,1979.66,1985.84,540858000
KRX-IDX,20160602,1983.86,1988,1978.82,1985.11,474228000
KRX-IDX,20160601,1976.87,1986.76,1975.82,1982.72,502290000
KRX-IDX,20160531,1962.47,1984.18,1958.16,1983.4,657045000
KRX-IDX,20160530,1969.72,1970.54,1955.49,1967.13,550502000
KRX-IDX,20160527,1962.33,1971.27,1959.75,1969.17,523531000
KRX-IDX,20160526,1965.81,1967.45,1955.97,1957.06,558263000
KRX-IDX,20160525,1953.63,1964.91,1951.17,1960.51,656874000
KRX-IDX,20160524,1951.18,1951.39,1937.67,1937.68,517076000
KRX-IDX,20160523,1954.26,1956.77,1940.44,1955.25,399513000
KRX-IDX,20160520,1943.84,1951.5,1940.36,1947.67,388051000
KRX-IDX,20160519,1953.91,1954.29,1942.48,1946.78,505920000
KRX-IDX,20160518,1962.78,1964.34,1945.56,1956.73,696273000
KRX-IDX,20160517,1973.86,1975.1,1962.57,1968.06,597582000
KRX-IDX,20160516,1961.91,1970.53,1961.32,1967.91,526717000
KRX-IDX,20160513,1979.97,1980.45,1962.77,1966.99,509123000
KRX-IDX,20160512,1973.28,1981.49,1970.54,1977.49,462882000
KRX-IDX,20160511,1989.17,1989.17,1970.48,1980.1,398532000
KRX-IDX,20160510,1965.86,1982.5,1964.9,1982.5,369085000
KRX-IDX,20160509,1974.52,1976.14,1962.92,1967.81,342189000
KRX-IDX,20160504,1978.24,1982.38,1969.22,1976.71,352695000
KRX-IDX,20160503,1988.34,1989.41,1979.66,1986.41,310492000
KRX-IDX,20160502,1991.84,1991.84,1977.03,1978.15,328194000
KRX-IDX,20160429,1998.68,1999.34,1983.3,1994.15,401063000
KRX-IDX,20160428,2020.83,2022.99,1998.6,2000.93,341142000
KRX-IDX,20160427,2019.31,2019.86,2012.75,2015.4,412802000
KRX-IDX,20160426,2013.26,2021.59,2011.85,2019.63,509281000
KRX-IDX,20160425,2016.05,2016.65,2007.18,2014.55,397674000
KRX-IDX,20160422,2014.93,2017.9,2010.94,2015.49,480470000
KRX-IDX,20160421,2014.6,2022.1,2009.45,2022.1,392096000
KRX-IDX,20160420,2017.05,2023.77,2005.82,2005.83,423964000
KRX-IDX,20160419,2015.1,2020.29,2007.68,2011.36,401236000
KRX-IDX,20160418,2001.35,2009.55,1998.49,2009.1,339248000
KRX-IDX,20160415,2013.38,2016.95,2008.68,2014.71,317709000
KRX-IDX,20160414,2004.15,2016.03,2000.83,2015.93,473519000
KRX-IDX,20160412,1970.5,1981.73,1968.5,1981.32,387318000
KRX-IDX,20160411,1972.25,1973.9,1963.21,1970.37,379537000
KRX-IDX,20160408,1961.29,1972.12,1954.11,1972.05,400616000
KRX-IDX,20160407,1978.75,1980.43,1964.99,1973.89,434061000
KRX-IDX,20160406,1963.17,1975.09,1961.51,1971.32,358031000
KRX-IDX,20160405,1972.38,1973.17,1959.26,1962.74,368164000
KRX-IDX,20160404,1974.73,1979.03,1969.35,1978.97,363317000
KRX-IDX,20160401,1994.77,1994.77,1970.17,1973.57,392258000
KRX-IDX,20160331,2005.72,2007.43,1986.74,1995.85,335073000
KRX-IDX,20160330,2005.24,2009.1,1998.51,2002.14,368305000
KRX-IDX,20160329,1986.93,1997.33,1984.07,1994.91,385453000
KRX-IDX,20160328,1984.93,1992.46,1981.37,1982.54,410468000
KRX-IDX,20160325,1991.06,1991.06,1981.53,1983.81,463422000
KRX-IDX,20160324,1988.46,1992.76,1981.17,1985.97,341173000
KRX-IDX,20160323,1996.47,2001.67,1989.84,1995.12,367551000
KRX-IDX,20160322,1993.37,1997.76,1986.87,1996.81,383752000
KRX-IDX,20160321,1999.25,2003.12,1982.7,1989.76,323260000
KRX-IDX,20160318,1996.31,1996.31,1986.04,1992.12,385847000
KRX-IDX,20160317,1984.69,2000.3,1984.33,1987.99,291577000
KRX-IDX,20160316,1971.58,1982.08,1969.66,1974.9,294460000
KRX-IDX,20160315,1975.61,1979.46,1966.44,1969.97,264582000
KRX-IDX,20160314,1985.74,1985.9,1970.56,1972.27,357078000
KRX-IDX,20160311,1968.3,1975.87,1966.65,1971.41,303418000
KRX-IDX,20160310,1958.87,1976.19,1955.67,1969.33,352325000
KRX-IDX,20160309,1940.55,1952.95,1938.32,1952.95,355392000
KRX-IDX,20160308,1958.94,1958.94,1935.55,1946.12,358684000
KRX-IDX,20160307,1961.26,1963.43,1955.97,1957.87,344612000
KRX-IDX,20160304,1956.01,1958.46,1949.47,1955.63,316418000
KRX-IDX,20160303,1957.83,1958.17,1946.57,1958.17,420984000
KRX-IDX,20160302,1944.27,1949.94,1942.24,1947.42,323352000
KRX-IDX,20160229,1921.76,1927.05,1916.66,1916.66,275051000
KRX-IDX,20160226,1927.1,1927.8,1917.07,1920.16,280216000
KRX-IDX,20160225,1919.08,1928.49,1906.99,1918.57,305789000
KRX-IDX,20160224,1908.71,1918.63,1906.19,1912.53,281600000
KRX-IDX,20160223,1928.85,1929.53,1909.79,1914.22,326810000
KRX-IDX,20160222,1911.56,1921.14,1905.85,1916.36,267858000
KRX-IDX,20160219,1904.5,1916.24,1902.24,1916.24,312197000
KRX-IDX,20160218,1909.4,1910.12,1898.49,1908.84,332576000
KRX-IDX,20160217,1889.41,1897.37,1881.03,1883.94,344628000
KRX-IDX,20160216,1870.1,1892.15,1868.11,1888.3,388318000
KRX-IDX,20160215,1857.33,1864.62,1847.6,1862.2,284595000
KRX-IDX,20160212,1850.67,1857.12,1817.97,1835.28,470499000
KRX-IDX,20160211,1872.68,1877.77,1858.9,1861.54,386428000
KRX-IDX,20160205,1914.55,1921.76,1910.31,1917.79,305766000
KRX-IDX,20160204,1900.48,1917.09,1897.18,1916.26,365805000
KRX-IDX,20160203,1893.83,1894.72,1882.75,1890.67,408594000
KRX-IDX,20160202,1914.96,1920.02,1906.06,1906.6,412273000
KRX-IDX,20160201,1919.62,1926.11,1912.85,1924.82,440317000
KRX-IDX,20160129,1905.01,1912.07,1888.48,1912.06,386555000
KRX-IDX,20160128,1885.38,1907.56,1877.78,1906.94,354305000
KRX-IDX,20160127,1888.07,1902.03,1883.39,1897.87,348905000
KRX-IDX,20160126,1881.87,1884.13,1862.98,1871.69,298824000
KRX-IDX,20160125,1890.15,1901.22,1882.74,1893.43,315303000
KRX-IDX,20160122,1860.3,1879.43,1859.54,1879.43,408460000
KRX-IDX,20160121,1848.1,1860.02,1838.04,1840.53,433741000
KRX-IDX,20160120,1885.36,1885.36,1830.06,1845.45,407298000
KRX-IDX,20160119,1879.8,1889.9,1866.76,1889.64,335321000
KRX-IDX,20160118,1856.03,1882.21,1854.55,1878.45,276937000
KRX-IDX,20160115,1915.83,1918.3,1873.35,1878.87,312359000
KRX-IDX,20160114,1893.18,1900.48,1882.02,1900.01,310978000
KRX-IDX,20160113,1904.33,1921,1902.49,1916.28,265221000
KRX-IDX,20160112,1907.61,1910.59,1888.94,1890.86,295135000
KRX-IDX,20160111,1897.18,1907.43,1892.69,1894.84,328768000
KRX-IDX,20160108,1889.42,1918.25,1883.82,1917.62,430204000
KRX-IDX,20160107,1915.71,1926.41,1901.24,1904.33,393042000
KRX-IDX,20160106,1934.25,1934.25,1911.61,1925.43,594612000
