TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
KRX-IDX,150824,550.48,550.48,523.55,526.93,174559919
KRX-IDX,150825,511.13,535.48,511.13,529.98,177692294
KRX-IDX,150826,530.05,545.89,530.05,545.89,124142260
KRX-IDX,150827,551.89,558.93,551.44,555.81,127733040
KRX-IDX,150828,561.36,570.87,559.35,570.87,165727370
KRX-IDX,150831,573.1,573.1,563.99,564.75,127965687
KRX-IDX,150901,565.75,569.18,561.28,562.31,98666090
KRX-IDX,150903,559.32,561.43,551.47,554.3,93471190
KRX-IDX,150904,554.85,558.9,554.77,556.81,66984681
KRX-IDX,150907,557.07,560.09,554.44,554.93,75024450
KRX-IDX,150908,554.48,566.72,554.34,566.72,107299931
KRX-IDX,150909,574.06,574.73,569.69,572.34,89599390
KRX-IDX,150910,567.51,576.13,567.09,572.07,70327858
KRX-IDX,150911,572.14,573.99,566.18,566.74,94986910
KRX-IDX,150914,569.21,572.25,561.46,562.17,84875711
KRX-IDX,150915,564.38,565.05,561.1,563.27,85238120
KRX-IDX,150916,561.86,564.82,561.69,564.13,74657307
KRX-IDX,150917,563.93,565.85,562.48,562.48,88373514
KRX-IDX,150918,564.69,569.5,564.69,566.25,153413503
KRX-IDX,150921,566.74,572.26,565.16,572.12,109412321
KRX-IDX,150922,573.09,575.17,570.26,573.2,121249664
KRX-IDX,150923,570.64,573.85,569.51,572.72,107830778
KRX-IDX,150924,573.5,575.36,570.12,570.25,107033234
KRX-IDX,150925,570.41,572.09,567.71,570.38,79089825
KRX-IDX,150928,571.29,572.15,564.88,564.88,86044001
KRX-IDX,150929,559.83,561.76,557.65,561.19,93139990
KRX-IDX,150930,562.5,565.65,562.5,562.64,83821689
KRX-IDX,151001,563.39,565.63,563.23,563.54,82587308
KRX-IDX,151002,563.33,565.01,561.73,562.31,81795149
KRX-IDX,151005,564.58,570,563.95,570,98664048
KRX-IDX,151006,577.45,581.38,574.63,581.29,179239993
KRX-IDX,151007,583.97,587.3,579.57,579.57,126077827
KRX-IDX,151008,580.04,588.35,579.82,586.78,194056072
KRX-IDX,151009,590.91,593.02,587.57,588.02,162687753
KRX-IDX,151012,587.72,594.74,587.25,592.1,152110985
KRX-IDX,151013,589.09,591.66,588.54,590.84,115293788
KRX-IDX,151014,592.45,593.73,589.62,589.98,113476812
KRX-IDX,151015,591.36,594.17,588.98,592.4,115345487
KRX-IDX,151016,592.4,599.74,592.4,593.02,132294470
KRX-IDX,151019,593.87,598.11,591.6,594.61,107689287
KRX-IDX,151020,594.97,596.37,588.26,590.45,118292310
KRX-IDX,151021,590.43,594.5,589.84,590.24,100314613
KRX-IDX,151022,590.24,595.81,589.74,595.08,94881079
KRX-IDX,151023,598.55,602.55,598.25,601.74,104409506
